district,year,lat,lng,temperature_increase_c,sea_level_rise_m,rainfall_change_pct,cyclone_intensity_index,humidity_pct,river_overflow_index,deforestation_pct,flood_risk_pct,crop_loss_pct,migration_people,disease_risk_pct,economic_damage_usd
Bogura,2067,24.8465,89.3776,2.25,1.36,23.93,8.49,76.82,65.49,27.25,51.48,50.35,83947,38.85,29824977.47
Rangpur,2028,25.7439,89.2752,0.0,0.64,3.12,5.4,60.95,19.15,2.31,15.96,18.57,21769,22.21,9569038.92
Chandpur,2029,23.2333,90.6712,0.38,0.77,21.54,5.2,78.77,36.22,32.35,32.7,33.79,96199,28.72,28724141.72
Shariatpur,2062,23.2423,90.4348,2.32,0.96,23.74,7.4,79.25,35.29,32.07,50.37,48.71,190605,47.84,76922558.73
Bhola,2070,22.6859,90.6482,3.05,2.31,14.5,8.26,71.07,73.8,36.98,79.71,72.49,327471,52.9,178912561.18
Pirojpur,2090,22.5841,89.972,4.6,3.63,18.35,7.67,83.35,86.06,22.55,95.94,78.54,404789,56.65,162712576.91
Bogura,2062,24.8465,89.3776,3.38,0.77,-1.82,6.73,75.48,61.15,19.85,37.93,32.4,62702,40.36,13408001.66
Bogura,2028,24.8465,89.3776,0.31,0.45,-10.16,4.35,70.48,11.74,21.51,18.84,16.94,32837,21.52,10350270.99
Bogura,2064,24.8465,89.3776,2.32,0.9,17.6,5.38,87.34,27.08,6.1,38.84,41.41,53493,23.14,18713260.96
Bhola,2045,22.6859,90.6482,1.78,0.58,26.69,7.13,68.17,51.05,36.75,52.16,54.65,318616,50.41,73308112.64
Barisal,2054,22.701,90.3535,2.04,2.36,18.99,9.44,71.47,53.66,25.29,72.18,70.4,642280,56.49,120920731.2
Bogura,2082,24.8465,89.3776,2.94,0.66,31.58,4.51,71.39,55.78,26.02,21.26,29.91,34392,24.83,9352726.84
Bagerhat,2049,22.6602,89.7895,2.4,2.41,25.9,7.02,76.56,54.41,26.4,75.86,58.03,381621,51.01,150569358.48
Chittagong,2032,22.3569,91.7832,0.96,0.34,17.51,4.77,81.46,0.0,10.25,17.24,12.89,59537,22.38,27426980.35
Comilla,2048,23.4607,91.1809,1.88,0.28,18.35,7.21,71.6,25.54,25.6,33.16,41.43,105716,39.86,31503571.23
Patuakhali,2025,22.3596,90.3296,0.83,0.0,-13.45,6.02,72.89,14.67,14.23,36.4,26.38,124465,31.25,77656316.05
Dhaka,2050,23.8103,90.4125,2.78,0.1,3.21,6.08,78.02,47.23,20.17,37.31,30.98,82551,41.48,17092098.99
Dhaka,2072,23.8103,90.4125,3.99,1.6,13.49,3.86,80.61,60.88,41.91,46.78,30.6,64015,37.81,21302553.7
Shariatpur,2059,23.2423,90.4348,4.23,2.21,40.64,5.19,83.76,55.01,27.61,64.89,52.41,269500,50.35,74684948.96
Dhaka,2051,23.8103,90.4125,2.28,0.41,1.2,8.12,88.15,59.75,23.98,53.01,40.18,119756,40.22,43475945.39
Comilla,2063,23.4607,91.1809,1.73,1.09,24.0,9.41,84.42,45.37,27.12,51.31,49.66,144346,47.56,55647963.16
Noakhali,2070,22.8696,91.0995,3.51,2.17,1.2,7.54,85.77,68.33,35.21,71.57,54.16,306966,58.29,132714485.33
Jhalokati,2080,22.6406,90.1987,4.45,2.11,13.34,7.76,82.17,53.37,25.04,67.38,53.51,296724,54.92,101114738.79
Patuakhali,2076,22.3596,90.3296,3.6,1.82,23.18,10.0,73.47,24.91,13.71,68.55,70.4,537750,64.43,91252847.86
Jhalokati,2084,22.6406,90.1987,5.0,1.75,27.9,7.33,75.93,53.43,42.15,73.5,60.05,496433,53.13,158815740.05
Rangpur,2092,25.7439,89.2752,4.23,1.0,60.0,9.19,77.9,65.62,29.97,50.07,51.9,81392,46.49,30928391.59
Chittagong,2037,22.3569,91.7832,1.9,0.0,24.8,3.93,67.63,35.04,18.87,25.72,34.54,84451,27.31,33669946.9
Pirojpur,2044,22.5841,89.972,2.11,0.48,28.46,6.05,65.67,9.94,19.97,31.07,38.67,150320,34.46,65842460.36
Chandpur,2099,23.2333,90.6712,3.52,1.84,43.93,10.0,80.31,25.23,21.1,55.36,57.02,255242,50.72,94747343.29
Bhola,2089,22.6859,90.6482,3.45,2.54,42.78,6.77,84.16,65.33,30.89,86.15,65.32,722804,57.49,119874975.86
Cox's Bazar,2045,21.4272,92.0058,1.07,0.68,23.96,6.98,73.4,54.84,29.59,57.52,57.37,397070,36.8,98940861.37
Khulna,2096,22.8456,89.5403,4.41,2.89,35.91,10.0,81.56,73.13,32.08,97.2,85.58,881489,77.5,363194566.99
Bhola,2037,22.6859,90.6482,2.03,0.23,13.48,7.26,81.48,39.51,25.29,48.62,59.28,341551,44.75,121474092.32
Sylhet,2100,24.8949,91.8687,4.81,0.4,14.15,9.92,85.87,44.56,29.3,61.9,55.02,376254,53.87,103319493.6
Sylhet,2041,24.8949,91.8687,1.85,0.21,14.75,5.21,68.52,32.99,13.33,36.78,31.99,103318,33.37,37881186.57
Patuakhali,2095,22.3596,90.3296,3.47,2.65,54.57,8.93,73.97,73.24,37.37,80.62,79.7,711761,64.25,237337361.85
Bogura,2059,24.8465,89.3776,2.85,0.47,16.36,7.1,87.5,67.98,34.59,44.05,38.26,75821,42.91,24563407.31
Chittagong,2056,22.3569,91.7832,2.4,1.06,16.18,7.78,78.32,50.4,28.63,52.88,58.3,326280,41.31,136929655.25
Patuakhali,2084,22.3596,90.3296,2.43,2.19,18.28,8.94,79.65,55.78,35.69,78.18,74.26,632695,64.27,114869394.78
Comilla,2097,23.4607,91.1809,2.62,1.85,38.73,10.0,89.81,61.84,30.2,68.06,57.21,248435,62.48,77251077.1
Patuakhali,2096,22.3596,90.3296,4.86,2.73,53.01,10.0,83.18,55.67,27.06,87.58,86.92,629836,69.22,195146318.41
Bogura,2083,24.8465,89.3776,3.79,2.07,12.54,9.66,82.09,55.04,31.41,57.31,43.64,122509,44.92,43963932.45
Shariatpur,2037,23.2423,90.4348,1.51,0.12,21.63,7.51,75.82,32.49,9.28,37.59,31.84,123407,41.83,68733387.44
Noakhali,2072,22.8696,91.0995,2.72,2.76,32.46,7.63,82.61,54.37,28.42,72.36,54.38,280071,58.88,118659791.17
Jhalokati,2066,22.6406,90.1987,2.92,2.1,29.11,6.28,86.73,73.37,29.89,71.9,63.08,417486,57.12,118723374.29
Cox's Bazar,2076,21.4272,92.0058,2.5,2.57,10.06,6.89,88.26,68.17,40.5,71.75,52.19,348037,55.74,116368498.36
Rangpur,2032,25.7439,89.2752,1.04,0.53,-2.03,4.55,75.77,20.96,14.98,20.48,17.12,32338,25.64,9251088.73
Barisal,2090,22.701,90.3535,3.32,2.72,25.71,10.0,80.94,82.61,32.83,95.17,81.97,753530,80.62,135380853.49
Noakhali,2041,22.8696,91.0995,1.31,0.9,26.75,6.56,74.4,53.26,27.51,49.92,55.4,282103,41.52,102862672.13
Rangpur,2054,25.7439,89.2752,2.35,1.26,-15.16,3.03,70.97,33.68,20.7,17.73,12.2,16745,39.03,10303646.27
Pirojpur,2027,22.5841,89.972,0.8,0.0,-17.82,4.63,69.23,29.71,2.73,22.72,27.74,105838,32.52,26890948.82
Pirojpur,2067,22.5841,89.972,2.32,2.12,26.64,5.28,77.58,56.09,31.1,56.91,56.69,314651,42.95,93674213.28
Chittagong,2041,22.3569,91.7832,3.32,0.27,2.5,8.14,70.36,18.06,15.38,44.46,47.38,219416,39.17,78065703.89
Satkhira,2029,22.7185,89.0705,3.01,0.61,24.9,4.34,74.31,21.36,0.0,23.85,16.87,58091,22.94,44156800.04
Bogura,2082,24.8465,89.3776,4.69,1.04,44.54,5.8,84.22,59.47,25.59,47.18,39.62,60376,33.37,17168198.74
Jhalokati,2062,22.6406,90.1987,0.9,1.61,29.71,5.8,79.11,56.32,29.81,60.29,57.59,227498,56.64,76765327.58
Noakhali,2057,22.8696,91.0995,2.55,1.28,-4.32,6.6,69.06,60.47,35.67,50.7,50.35,227103,41.32,100961134.26
Barisal,2053,22.701,90.3535,3.7,1.16,36.19,6.86,82.76,37.63,22.07,51.3,47.56,310905,50.04,105195761.48
Bogura,2028,24.8465,89.3776,2.3,0.14,16.8,2.64,75.46,21.98,28.76,22.72,19.41,33860,11.95,5756111.43
Satkhira,2060,22.7185,89.0705,2.68,1.81,4.1,7.16,90.75,60.38,25.69,61.45,51.77,212410,54.5,132783271.93
Barisal,2098,22.701,90.3535,3.88,2.59,24.72,9.79,70.28,76.59,40.5,89.99,66.04,516767,73.66,94001384.99
Bhola,2056,22.6859,90.6482,1.5,2.0,12.27,7.67,81.7,73.91,21.64,74.13,53.7,545627,53.65,129717817.27
Bhola,2053,22.6859,90.6482,1.06,1.59,35.71,7.3,68.45,42.93,28.4,45.45,48.06,324567,46.19,107994099.46
Noakhali,2099,22.8696,91.0995,4.83,3.38,60.0,9.33,78.11,73.32,38.25,95.65,77.33,932936,68.77,184130185.87
Jhalokati,2047,22.6406,90.1987,1.94,0.92,27.23,4.0,79.46,69.25,24.6,42.63,33.49,138290,37.64,41663316.67
Bogura,2029,24.8465,89.3776,0.0,0.77,5.9,4.31,68.66,51.23,26.03,35.14,15.96,44306,34.4,8768383.78
Chandpur,2034,23.2333,90.6712,1.71,0.83,16.26,5.39,84.8,52.37,0.0,38.39,30.55,83631,39.71,50803639.74
Dhaka,2030,23.8103,90.4125,1.5,0.0,1.92,6.4,72.28,38.73,1.36,42.76,32.4,79982,40.52,20327820.34
Khulna,2042,22.8456,89.5403,1.53,0.89,9.43,5.1,80.98,42.68,24.75,41.08,42.61,188537,52.94,45899813.86
Chandpur,2097,23.2333,90.6712,5.45,1.9,60.0,10.0,88.51,62.29,32.46,72.87,72.62,488983,60.96,110839113.88
Patuakhali,2058,22.3596,90.3296,3.28,1.98,34.38,6.69,72.95,34.23,10.72,60.09,53.21,315715,29.08,83784432.02
Jhalokati,2061,22.6406,90.1987,2.15,1.71,3.54,9.3,77.98,51.63,43.21,75.03,65.4,397722,56.2,166781772.47
Dhaka,2074,23.8103,90.4125,2.97,1.77,27.89,10.0,80.77,74.42,30.93,69.36,50.31,146929,57.57,72858145.44
Cox's Bazar,2063,21.4272,92.0058,1.74,1.05,3.79,4.47,79.71,65.93,25.03,32.67,31.37,132203,49.96,32100622.83
Sylhet,2036,24.8949,91.8687,2.88,0.81,22.85,5.12,78.15,46.36,11.46,44.52,26.47,124516,39.63,32557929.02
Cox's Bazar,2034,21.4272,92.0058,0.92,0.1,8.3,3.59,77.9,17.26,23.1,14.87,20.05,61497,33.96,28428109.77
Satkhira,2060,22.7185,89.0705,3.03,0.64,23.35,10.0,79.53,49.03,28.72,69.0,60.16,342722,61.15,149639074.8
Cox's Bazar,2062,21.4272,92.0058,2.47,0.72,5.78,2.83,77.54,45.72,21.47,40.02,36.75,143972,21.31,47433337.81
Pirojpur,2055,22.5841,89.972,2.65,1.87,4.53,9.89,72.44,55.96,9.5,65.87,70.86,434151,62.23,169953219.47
Dhaka,2045,23.8103,90.4125,3.02,0.48,-8.71,3.75,80.44,43.13,7.8,25.14,16.25,38478,21.67,12375839.99
Faridpur,2039,23.607,89.8429,2.27,1.03,13.41,4.41,77.33,23.54,9.56,24.89,20.47,50902,30.41,25965266.22
Bogura,2057,24.8465,89.3776,2.51,0.49,27.92,5.55,69.69,21.47,23.77,33.64,16.37,42243,37.68,13814645.93
Dhaka,2086,23.8103,90.4125,3.28,1.15,10.09,4.02,87.16,37.19,27.62,24.86,15.52,39773,26.22,15433224.1
Patuakhali,2056,22.3596,90.3296,2.7,1.69,46.07,5.28,77.98,63.19,33.38,50.57,48.4,321646,47.15,84790630.88
Satkhira,2093,22.7185,89.0705,3.87,3.14,33.41,9.33,82.72,54.83,37.39,100.0,72.83,755869,63.16,259624021.1
Comilla,2073,23.4607,91.1809,3.85,1.91,32.09,9.01,66.05,73.06,30.8,73.16,50.66,201186,54.6,78774077.76
Bhola,2084,22.6859,90.6482,4.62,1.88,48.21,8.91,80.07,39.09,34.76,56.9,72.48,333849,53.63,160293785.66
Jhalokati,2069,22.6406,90.1987,2.91,1.45,20.0,9.57,82.91,45.34,24.84,54.2,62.24,230799,57.62,127033777.67
Patuakhali,2099,22.3596,90.3296,3.57,3.28,60.0,10.0,78.72,72.04,34.75,100.0,86.43,837554,61.34,291624489.62
Comilla,2047,23.4607,91.1809,1.84,0.0,33.63,6.05,72.99,34.59,8.86,26.89,28.06,91417,29.02,31704231.05
Sylhet,2090,24.8949,91.8687,4.23,1.89,49.1,7.68,72.5,37.0,28.08,47.92,52.65,172238,56.98,42923364.67
Noakhali,2027,22.8696,91.0995,0.19,0.13,12.92,1.15,76.63,59.54,11.91,26.93,25.7,85852,25.36,13284761.4
Bogura,2068,24.8465,89.3776,2.92,0.2,29.1,5.37,76.42,53.08,15.76,41.91,21.77,43603,47.95,20465907.53
Khulna,2035,22.8456,89.5403,0.71,0.44,15.1,5.63,75.52,34.74,15.95,27.2,32.39,166217,27.19,51265975.55
Noakhali,2085,22.8696,91.0995,3.89,2.33,56.16,9.55,73.53,69.99,24.8,80.91,78.1,529755,67.67,166792195.52
Faridpur,2094,23.607,89.8429,3.69,1.64,54.09,9.71,92.62,92.53,25.15,75.06,57.22,250100,57.94,78035274.71
Comilla,2058,23.4607,91.1809,2.42,0.4,35.83,4.73,95.38,36.43,24.38,24.87,40.42,90032,35.18,19750618.73
Bogura,2065,24.8465,89.3776,1.97,1.41,38.14,6.26,64.65,28.26,31.17,41.66,42.58,45694,35.42,27182929.74
Bhola,2032,22.6859,90.6482,1.32,0.73,8.29,2.46,73.79,28.79,15.68,23.17,19.73,90391,29.57,27125254.68
Chittagong,2056,22.3569,91.7832,2.52,0.46,29.56,6.77,78.54,59.7,7.64,37.56,44.0,193392,43.93,63502173.93
Comilla,2100,23.4607,91.1809,5.25,2.14,36.09,5.63,87.62,78.33,40.16,56.25,49.04,179210,55.69,39532182.87
Rangpur,2093,25.7439,89.2752,4.77,0.85,20.44,8.56,85.73,52.72,34.89,44.0,47.98,57621,38.65,26510544.09
Noakhali,2039,22.8696,91.0995,0.46,0.16,-14.97,5.73,69.78,31.21,24.02,28.44,37.97,135442,38.38,57943484.74
Rangpur,2069,25.7439,89.2752,2.92,1.16,33.5,4.06,83.63,27.58,38.03,35.62,31.75,42185,30.36,15724701.38
Chittagong,2066,22.3569,91.7832,3.1,2.22,17.97,6.45,72.21,34.26,11.31,61.24,59.61,399255,35.87,116046095.62
Bhola,2051,22.6859,90.6482,1.85,1.44,-9.72,7.12,71.39,46.72,9.44,58.33,57.94,315592,41.66,69898781.29
Patuakhali,2028,22.3596,90.3296,0.67,0.0,18.0,4.4,68.87,23.25,24.37,29.97,33.24,157850,24.53,48657308.08
Rajshahi,2082,24.3745,88.6042,3.28,1.0,21.09,8.02,84.39,4.48,39.72,11.84,27.31,30478,26.19,9465692.54
Dhaka,2030,23.8103,90.4125,2.05,0.0,28.93,3.95,68.38,23.05,8.2,28.71,28.3,36165,25.26,14597075.7
Jhalokati,2080,22.6406,90.1987,2.49,2.98,31.5,6.41,76.8,44.38,19.47,67.49,45.61,173521,46.19,56667261.57
Faridpur,2076,23.607,89.8429,2.65,1.06,60.0,7.59,81.91,24.43,23.37,44.26,42.09,171177,34.04,49134641.24
Patuakhali,2033,22.3596,90.3296,1.5,0.31,9.14,5.08,71.45,41.46,19.04,36.01,34.03,195943,35.27,54334458.19
Noakhali,2027,22.8696,91.0995,2.45,0.0,22.35,1.84,76.52,54.62,19.44,31.23,22.01,98440,29.11,23074604.04
Bhola,2026,22.6859,90.6482,1.21,0.0,-1.69,2.85,77.45,38.71,17.12,31.95,26.82,134882,33.34,37259333.91
Bagerhat,2095,22.6602,89.7895,6.0,2.76,28.01,10.0,83.98,44.39,42.65,84.53,73.31,756194,67.81,159000797.49
Patuakhali,2099,22.3596,90.3296,4.98,3.33,60.0,10.0,82.72,58.77,39.39,100.0,91.54,755275,71.07,289767696.07
Dhaka,2090,23.8103,90.4125,2.86,1.55,-3.03,8.36,79.06,73.02,28.39,59.62,41.25,132534,53.37,40380590.29
Pirojpur,2038,22.5841,89.972,0.81,0.91,29.04,6.6,87.89,24.93,7.43,32.83,43.74,186638,39.92,49266165.7
Dhaka,2027,23.8103,90.4125,0.11,0.91,53.66,4.42,78.71,23.33,1.05,19.75,17.85,27687,37.62,14974960.88
Bhola,2064,22.6859,90.6482,2.57,1.84,40.07,7.51,82.34,47.65,22.66,56.21,47.14,317874,50.84,84685855.07
Rangpur,2053,25.7439,89.2752,2.35,0.0,7.47,5.88,80.31,21.51,23.73,31.71,31.16,39986,28.84,13392377.38
Khulna,2083,22.8456,89.5403,3.86,2.97,35.18,10.0,81.75,71.93,37.43,92.49,73.81,918676,70.65,159334889.17
Bagerhat,2074,22.6602,89.7895,3.9,2.04,21.92,10.0,73.94,42.85,29.76,76.98,77.07,687823,61.58,225678911.62
Rajshahi,2057,24.3745,88.6042,2.54,0.63,26.03,6.77,81.74,40.9,17.06,35.99,30.88,50948,49.31,16516092.79
Shariatpur,2056,23.2423,90.4348,3.3,1.27,57.47,5.86,80.25,32.07,20.45,46.02,50.44,196057,47.55,59656083.34
Patuakhali,2095,22.3596,90.3296,6.0,3.36,27.21,8.48,76.81,80.64,30.75,99.68,78.29,821445,62.12,181205939.24
Bagerhat,2092,22.6602,89.7895,4.61,3.04,24.66,10.0,77.68,56.12,25.32,98.54,85.32,859157,75.63,403307387.67
Shariatpur,2095,23.2423,90.4348,3.68,2.08,25.24,7.34,80.67,43.48,36.35,59.45,56.35,286581,51.51,80307600.99
Bhola,2050,22.6859,90.6482,2.35,0.41,4.96,3.84,77.77,41.37,17.92,45.98,38.74,227375,32.15,47644005.7
Jhalokati,2044,22.6406,90.1987,2.03,0.02,14.9,5.89,75.74,26.92,15.75,32.5,36.59,159408,42.31,48497561.71
Bhola,2094,22.6859,90.6482,4.57,3.49,31.09,10.0,88.24,85.81,47.63,100.0,89.94,894149,73.17,259428122.7
Sylhet,2091,24.8949,91.8687,4.15,1.61,37.69,7.33,75.44,61.67,33.81,62.29,66.29,266727,51.6,65054689.53
Rajshahi,2050,24.3745,88.6042,3.43,0.05,4.34,5.0,77.13,24.46,19.23,33.1,19.34,28090,36.56,14594896.8
Faridpur,2028,23.607,89.8429,0.0,0.0,10.38,6.17,69.1,29.97,21.2,14.29,33.82,47333,30.91,28088332.36
Bagerhat,2070,22.6602,89.7895,3.54,0.84,16.23,8.02,78.63,59.96,33.31,63.18,59.25,256540,50.85,141015211.5
Bogura,2030,24.8465,89.3776,1.74,0.8,13.9,0.0,67.86,59.92,11.96,16.61,19.74,21330,30.18,7464461.98
Dhaka,2057,23.8103,90.4125,2.78,1.13,56.96,7.39,68.93,48.22,32.67,53.38,44.63,141204,47.53,59960410.34
Dhaka,2088,23.8103,90.4125,3.53,1.09,27.85,6.48,65.14,46.16,34.75,39.62,49.14,92468,43.72,34103173.48
Shariatpur,2088,23.2423,90.4348,4.16,2.87,36.04,9.39,83.92,54.24,35.04,91.96,71.34,520911,70.52,194482675.74
Comilla,2044,23.4607,91.1809,0.0,0.96,-15.69,7.62,78.04,52.6,12.85,33.05,37.65,103611,36.75,40365432.78
Patuakhali,2100,22.3596,90.3296,5.17,3.9,52.66,10.0,81.86,38.38,33.49,100.0,83.61,808598,64.18,362134535.58
Cox's Bazar,2067,21.4272,92.0058,3.48,2.19,26.24,7.88,72.37,18.26,27.4,61.27,66.25,491323,57.28,103959614.82
Pirojpur,2056,22.5841,89.972,2.83,2.68,44.6,8.54,75.98,31.96,29.58,63.95,62.96,375967,61.13,122357670.4
Rangpur,2080,25.7439,89.2752,3.97,0.37,32.64,6.89,79.22,59.16,17.4,38.54,36.62,46102,28.42,21953584.69
Noakhali,2058,22.8696,91.0995,2.5,0.54,33.79,4.28,80.37,33.14,14.52,31.61,32.36,116055,37.34,39671930.55
Chandpur,2079,23.2333,90.6712,3.74,1.47,18.61,5.28,82.5,48.59,10.42,43.17,29.58,168346,29.42,30018190.68
Rajshahi,2087,24.3745,88.6042,4.98,0.46,25.32,8.52,67.65,21.92,29.29,44.87,36.76,68035,44.08,35945673.57
Rangpur,2096,25.7439,89.2752,4.3,1.76,15.57,9.74,76.46,53.88,31.99,46.29,35.36,70038,49.26,25547538.31
Rangpur,2092,25.7439,89.2752,4.58,0.33,47.9,9.14,97.77,45.44,29.2,48.85,49.19,69892,42.95,32777031.06
Faridpur,2096,23.607,89.8429,3.98,2.01,53.34,7.87,71.52,30.6,23.86,45.87,47.89,127475,37.12,48708426.88
Cox's Bazar,2037,21.4272,92.0058,2.62,1.08,15.04,4.82,73.68,40.93,22.87,36.58,36.47,101316,37.4,60826418.38
Jhalokati,2026,22.6406,90.1987,2.5,0.0,13.66,4.61,74.5,28.77,16.12,35.42,40.9,146139,38.88,41255205.69
Chandpur,2049,23.2333,90.6712,1.51,1.52,52.76,5.72,64.4,32.4,31.26,45.75,46.95,198009,40.11,67853439.03
Chandpur,2076,23.2333,90.6712,4.6,1.92,43.98,7.23,76.83,78.18,30.33,72.56,58.58,264357,53.63,119969856.45
Cox's Bazar,2066,21.4272,92.0058,1.54,1.73,53.13,7.15,68.57,78.95,31.39,67.3,60.34,449232,49.47,149323071.42
Barisal,2055,22.701,90.3535,2.6,1.55,19.38,8.51,73.01,21.03,27.92,59.7,64.16,433656,47.85,163494146.34
Dhaka,2082,23.8103,90.4125,3.27,1.0,60.0,4.72,84.08,25.33,29.33,30.3,21.47,55953,29.3,10459315.18
Bagerhat,2040,22.6602,89.7895,2.85,1.62,21.38,5.87,84.57,62.84,28.07,52.58,49.17,282741,35.69,92129605.45
Faridpur,2043,23.607,89.8429,2.35,1.46,19.94,5.18,79.21,25.2,12.09,43.99,41.91,104281,42.3,39805085.77
Bogura,2068,24.8465,89.3776,3.37,1.2,28.44,8.56,81.44,53.35,19.8,59.95,45.43,109898,36.88,28749416.9
Rangpur,2095,25.7439,89.2752,4.5,0.0,53.57,7.16,90.93,50.71,35.3,48.37,36.2,50988,40.88,25848215.61
Dhaka,2068,23.8103,90.4125,1.67,1.35,18.16,5.94,68.45,35.3,26.41,42.03,29.47,100309,31.22,22466387.76
